fips,month,avg_temp,min_temp,max_temp
05097,2019-12-01,43.9,34.2,53.5
05099,2019-12-01,46.8,36.9,56.7
05101,2019-12-01,39.5,31.7,47.4
05103,2019-12-01,46.8,37.4,56.1
05105,2019-12-01,43.6,34.6,52.7
05107,2019-12-01,46.6,39.1,54.2
05109,2019-12-01,44.7,35,54.4
05111,2019-12-01,43.3,35.7,50.9
05113,2019-12-01,43.7,34.4,52.8
05115,2019-12-01,41.5,32.7,50.3
05117,2019-12-01,45,37.8,52.3
05119,2019-12-01,43.9,35.4,52.3
05121,2019-12-01,40.7,32,49.4
05123,2019-12-01,45.1,37.6,52.6
05125,2019-12-01,44.1,35.6,52.6
05127,2019-12-01,43.4,33.7,53
05129,2019-12-01,40.2,31.8,48.5
05131,2019-12-01,43.5,33.9,53.1
05133,2019-12-01,46.7,37.3,56
05135,2019-12-01,40.3,32.1,48.5
05137,2019-12-01,40.7,32.2,49.2
05139,2019-12-01,48.3,38.6,58.1
05141,2019-12-01,41,32.3,49.8
05143,2019-12-01,40.3,31,49.6
05145,2019-12-01,43.6,36.1,51.1
05147,2019-12-01,43.9,36.6,51.3
05149,2019-12-01,43.5,33.9,53.1
06001,2019-12-01,48.8,40.4,57.1
06003,2019-12-01,33.7,24.1,43.3
06005,2019-12-01,44.7,36,53.4
06007,2019-12-01,46.1,37.7,54.5
06009,2019-12-01,45.1,36.1,54.1
06011,2019-12-01,46.6,37.6,55.6
06013,2019-12-01,48.8,41,56.6
06015,2019-12-01,40.9,36.7,45.1
06017,2019-12-01,41.8,33.4,50.3
06019,2019-12-01,41.8,31.7,52
06021,2019-12-01,46.1,37.5,54.6
06023,2019-12-01,44.2,39.4,49
06025,2019-12-01,58,44.9,71
06027,2019-12-01,44.6,32.8,56.4
06029,2019-12-01,46.4,36,56.8
06031,2019-12-01,47.2,37,57.4
06033,2019-12-01,44.5,36.6,52.4
06035,2019-12-01,34.2,25.2,43.3
06037,2019-12-01,51.5,40.7,62.2
06039,2019-12-01,42.8,32.6,53.1
06041,2019-12-01,50.2,44.2,56.3
06043,2019-12-01,42.3,31.9,52.7
06045,2019-12-01,45.5,38.8,52.1
06047,2019-12-01,48.6,40.1,57
06049,2019-12-01,33.3,25.1,41.6
06051,2019-12-01,32.9,20.4,45.4
06053,2019-12-01,48.9,37.5,60.4
06055,2019-12-01,48.1,39.2,57
06057,2019-12-01,39.5,31,48
06059,2019-12-01,57.2,46.7,67.6
06061,2019-12-01,40.9,32.3,49.5
06063,2019-12-01,35.2,26.6,43.8
06065,2019-12-01,53.8,41.8,65.7
06067,2019-12-01,48.8,40.1,57.6
06069,2019-12-01,46.8,36.5,57.1
06071,2019-12-01,50.2,39,61.3
06073,2019-12-01,53.5,40.9,66.1
06075,2019-12-01,51.4,45.1,57.7
06077,2019-12-01,49.7,40.9,58.4
06079,2019-12-01,49,37.8,60.3
06081,2019-12-01,50.5,42.4,58.6
06083,2019-12-01,50.6,39.3,61.8
06085,2019-12-01,47.6,38.4,56.8
06087,2019-12-01,51,41.2,60.8
06089,2019-12-01,40.6,33.5,47.8
06091,2019-12-01,35.6,26.8,44.4
06093,2019-12-01,35.6,29.3,41.9
06095,2019-12-01,49.2,40.6,57.7
06097,2019-12-01,49.2,41.2,57.2
06099,2019-12-01,48.5,40,57.1
06101,2019-12-01,48,39.1,56.8
06103,2019-12-01,44.5,36.7,52.2
06105,2019-12-01,39.6,33.8,45.5
06107,2019-12-01,40.3,30.4,50.1
06109,2019-12-01,38.9,28.8,48.9
06111,2019-12-01,49.1,37.5,60.8
06113,2019-12-01,48.5,39.3,57.7
06115,2019-12-01,46.7,38.6,54.8
08001,2019-12-01,33.4,19.4,47.4
08003,2019-12-01,18.5,3.9,33.1
08005,2019-12-01,33.1,18.9,47.3
08007,2019-12-01,24.8,11.6,37.9
08009,2019-12-01,35.6,20,51.3
08011,2019-12-01,35.5,18.5,52.4
08013,2019-12-01,29.8,18.7,41
08014,2019-12-01,35.1,21.7,48.4
08015,2019-12-01,19.8,6.8,32.8
08017,2019-12-01,34.2,18.3,50.1
08019,2019-12-01,22.6,13.5,31.6
08021,2019-12-01,19.6,6.9,32.4
08023,2019-12-01,23.1,10.1,36.1
08025,2019-12-01,33.4,15.8,50.9
08027,2019-12-01,25.2,13.1,37.3
08029,2019-12-01,25.2,15.1,35.4
08031,2019-12-01,35,22,48
08033,2019-12-01,25.5,13.9,37.1
08035,2019-12-01,32,18.6,45.4
08037,2019-12-01,20.6,10.5,30.8
08039,2019-12-01,31.3,15.8,46.8
08041,2019-12-01,32.2,17.3,47.1
08043,2019-12-01,28.6,14.6,42.6
08045,2019-12-01,23.5,14.4,32.6
08047,2019-12-01,25.1,15.5,34.8
08049,2019-12-01,19.2,9.4,29.1
08051,2019-12-01,17.8,6.3,29.3
08053,2019-12-01,19.4,6.7,32
08055,2019-12-01,30.9,18.4,43.4
08057,2019-12-01,18.7,9,28.4
08059,2019-12-01,31.8,20,43.5
08061,2019-12-01,34.4,17.9,50.8
08063,2019-12-01,34.1,19.2,48.9
08065,2019-12-01,17.1,5.6,28.7
08067,2019-12-01,25.9,13.6,38.3
08069,2019-12-01,26.9,16.8,37
08071,2019-12-01,34.4,20.3,48.5
08073,2019-12-01,32.3,15.9,48.6
08075,2019-12-01,33,20,46
08077,2019-12-01,25.9,16.5,35.2
08079,2019-12-01,20,7.2,32.9
08081,2019-12-01,22.3,12.6,32
08083,2019-12-01,29.5,18.3,40.8
08085,2019-12-01,26.5,15.8,37.2
08087,2019-12-01,34.1,20,48.2
08089,2019-12-01,35.1,18.4,51.8
08091,2019-12-01,22.6,10.8,34.4
08093,2019-12-01,21.1,8.4,33.8
08095,2019-12-01,32,18.5,45.4
08097,2019-12-01,20,9.7,30.3
08099,2019-12-01,35.6,19.2,52.1
08101,2019-12-01,35,20.2,49.8
08103,2019-12-01,22.9,13.2,32.6
08105,2019-12-01,17.7,4.7,30.8
08107,2019-12-01,21,12.1,29.9
08109,2019-12-01,18,6.1,29.9
08111,2019-12-01,20.2,8.9,31.5
08113,2019-12-01,25.8,13.9,37.7
08115,2019-12-01,31.3,18.6,44.1
08117,2019-12-01,18.8,8.8,28.7
08119,2019-12-01,24.7,11.5,37.8
08121,2019-12-01,33,18.8,47.3
08123,2019-12-01,32.9,20.2,45.7
08125,2019-12-01,33.5,19.3,47.6
09001,2019-12-01,34.7,26.2,43.2
09003,2019-12-01,32.9,24.2,41.5
09005,2019-12-01,30.5,21.8,39.2
09007,2019-12-01,34.6,26.5,42.8
09009,2019-12-01,34.5,26,42.9
09011,2019-12-01,35.2,27.1,43.2
09013,2019-12-01,32.7,24,41.4
09015,2019-12-01,33.3,24.9,41.6
10001,2019-12-01,39.7,31.2,48.2
10003,2019-12-01,38.4,30.1,46.7
10005,2019-12-01,41.6,32.5,50.6
12001,2019-12-01,59.2,46.7,71.6
12003,2019-12-01,56.9,44.3,69.4
12005,2019-12-01,58.2,48.2,68.2
12007,2019-12-01,58.8,46.5,71
12009,2019-12-01,64.2,55.3,73.1
12011,2019-12-01,68.7,58.7,78.8
12013,2019-12-01,57.4,46.2,68.6
12015,2019-12-01,65.4,54.5,76.4
12017,2019-12-01,60.7,49,72.3
12019,2019-12-01,60.3,49.2,71.4
12021,2019-12-01,67.4,55.9,78.9
12023,2019-12-01,55.9,42.9,69
12027,2019-12-01,64.4,52.7,76.1
12029,2019-12-01,57.8,45.6,70
12031,2019-12-01,59.7,49.3,70.1
12033,2019-12-01,55.1,45.3,64.8
12035,2019-12-01,61.5,51.8,71.2
12037,2019-12-01,57.3,47.2,67.4
12039,2019-12-01,56.2,45.4,67.1
12041,2019-12-01,58,44.8,71.1
12043,2019-12-01,65.1,53.4,76.8
12045,2019-12-01,58,47.5,68.4
12047,2019-12-01,55.1,42.1,68.1
12049,2019-12-01,63.8,51.9,75.8
12051,2019-12-01,66.2,54.5,77.9
12053,2019-12-01,61.8,50.8,72.9
12055,2019-12-01,64.3,52.5,76.1
12057,2019-12-01,64,54,74
12059,2019-12-01,55.8,44.2,67.3
12061,2019-12-01,64.8,55,74.7
12063,2019-12-01,56.7,45.3,68
12065,2019-12-01,56.9,46.1,67.6
12067,2019-12-01,56.7,43.5,69.8
12069,2019-12-01,62.4,51.6,73.3
12071,2019-12-01,66.5,56,77
12073,2019-12-01,56.6,45.8,67.4
12075,2019-12-01,60.1,48,72.1
12077,2019-12-01,57.2,45.9,68.4
12079,2019-12-01,56.2,44.2,68.2
12081,2019-12-01,64,53.4,74.6
12083,2019-12-01,60.4,48.7,72
12085,2019-12-01,67.6,58.3,76.9
12086,2019-12-01,69.6,59.8,79.4
12087,2019-12-01,69.8,60.4,79.2
12089,2019-12-01,58.3,47.2,69.4
12091,2019-12-01,54,43.7,64.2
12093,2019-12-01,65,54.2,75.8
12095,2019-12-01,63.9,53.5,74.2
12097,2019-12-01,64.1,53.2,75
12099,2019-12-01,68,58,77.8
12101,2019-12-01,62.8,52.2,73.4
12103,2019-12-01,64.2,55.9,72.5
12105,2019-12-01,63.8,52.5,75.1
12107,2019-12-01,60.9,50.3,71.5
12109,2019-12-01,61.4,51.7,71.1
12111,2019-12-01,66.3,56.9,75.7
12113,2019-12-01,54,44,64
12115,2019-12-01,64.3,53.4,75.1
12117,2019-12-01,63.4,53.2,73.6
12119,2019-12-01,61.4,49.6,73.2
12121,2019-12-01,55.9,42.7,69.2
12123,2019-12-01,57.6,46.3,69
12125,2019-12-01,57.2,44.3,70.1
12127,2019-12-01,62.4,52.4,72.3
12129,2019-12-01,57.2,46.6,67.6
12131,2019-12-01,55.5,44.4,66.6
12133,2019-12-01,57.2,46,68.4
13001,2019-12-01,54.9,43.2,66.5
13003,2019-12-01,54.7,43.2,66.1
13005,2019-12-01,55,43.3,66.5
13007,2019-12-01,54.1,43.6,64.7
13009,2019-12-01,51.2,40.2,62.3
13011,2019-12-01,46.9,37.5,56.3
13013,2019-12-01,47,37.8,56.2
13015,2019-12-01,45.8,36.5,55.1
13017,2019-12-01,53.9,43.5,64.2
13019,2019-12-01,54.2,43.4,65
13021,2019-12-01,51.8,40.6,62.9
13023,2019-12-01,53.1,42.8,63.3
13025,2019-12-01,55.6,43.6,67.6
13027,2019-12-01,54.8,43.9,65.7
13029,2019-12-01,56,44.7,67.2
13031,2019-12-01,54.4,42.8,66.1
13033,2019-12-01,53,42.3,63.6
13035,2019-12-01,49.3,38.4,60.2
13037,2019-12-01,53.3,43,63.6
13039,2019-12-01,57.2,46.4,68
13043,2019-12-01,54.2,42.7,65.6
13045,2019-12-01,46.9,37.1,56.7
13047,2019-12-01,46,37.6,54.3
13049,2019-12-01,56.8,44.8,68.8
13051,2019-12-01,56.4,46,66.8
13053,2019-12-01,51.1,40.2,62
13055,2019-12-01,46,37.7,54.2
13057,2019-12-01,45.5,36.2,54.8
13059,2019-12-01,47.4,37.8,56.9
13061,2019-12-01,52.8,42.4,63.2
13063,2019-12-01,48,38.5,57.4
13065,2019-12-01,54.8,42.4,67.2
13067,2019-12-01,46.9,37.8,56
13069,2019-12-01,54.3,43.1,65.5
13071,2019-12-01,54.1,43.9,64.3
13073,2019-12-01,51.6,41.9,61.3
13075,2019-12-01,54.2,43.7,64.7
13077,2019-12-01,47.8,37.7,57.9
13079,2019-12-01,51.4,40.3,62.5
13081,2019-12-01,53.2,42.8,63.7
13083,2019-12-01,44.9,37.5,52.4
13085,2019-12-01,44.6,35.1,54
13087,2019-12-01,55.4,44.3,66.4
13089,2019-12-01,47.4,38.2,56.6
13091,2019-12-01,53.8,43.9,63.7
13093,2019-12-01,52.8,42.3,63.4
13095,2019-12-01,53.8,43.7,64
13097,2019-12-01,47.2,37.6,56.7
13099,2019-12-01,54.2,43.6,64.8
13101,2019-12-01,54.6,41.8,67.3
13103,2019-12-01,54.8,43.4,66
13105,2019-12-01,47.5,37.9,57.1
13107,2019-12-01,53.4,42.5,64.3
13109,2019-12-01,55.1,43.3,66.8
13111,2019-12-01,42.1,32.3,52
13113,2019-12-01,48,38.1,57.9
