fips,population,population_per_sqmile
08071,14179,2.7804165919723745
08073,5548,2.019994550994023
08075,21689,11.157301660045663
08077,149998,40.778724393904085
08079,823,0.8587521628875726
08081,13060,2.5182632840956867
08083,25909,11.452111318806715
08085,41268,16.735560061885305
08087,28257,20.569162659147374
08089,18325,13.61033879998523
08091,4722,7.959609596618578
08093,17392,7.311372081560166
08095,4318,5.974704723156213
08097,17909,16.939343338523695
08099,12052,6.952466125396842
08101,164685,64.04215280414311
08103,6465,1.8300449217655177
08105,11351,11.442802489103707
08107,24874,9.702740247656486
08109,6468,1.8822987917755303
08111,544,1.280398524406836
08113,7968,5.589889346197268
08115,2350,4.0815047848695185
08117,30429,45.68698711109227
08119,24113,40.15080132928878
08121,4840,1.814347908261874
08123,295123,69.11139776754783
08125,10069,4.042044210693876
09001,944348,1400.4949858414368
09003,894730,1157.6868983045347
09005,183031,188.76117984502517
09007,163368,411.93586086401467
09009,859339,1347.716952246639
09011,268881,374.16218289031815
09013,151269,352.0114100233685
09015,116538,216.75302454364612
10001,174822,286.58938495861435
10003,555133,1215.7261112665642
10005,219540,219.64402291266276
11001,684498,9880.654897042781
12001,263148,271.1685022807896
12003,27785,46.912279091195934
12005,182482,206.89377436845575
12007,26979,89.4065046305678
12009,576808,442.7935652261061
12011,1909151,1548.4385463193335
12013,14444,25.104446383472553
12015,176954,236.24781379072527
12017,143087,217.8371668727854
12019,207291,320.6850434041001
12021,363922,172.13801436756842
12023,69105,86.17398162032623
12027,36399,56.68274595679466
12029,16437,22.75832543480041
12031,924229,1083.384343070276
12033,311522,416.91703627636144
12035,107139,210.439913388478
12037,11736,18.689724414648772
12039,46017,86.9705754746886
12041,17615,49.89473004606979
12043,13363,13.494671631404099
12045,16055,27.50257413002646
12047,14269,27.50735396226362
12049,27228,42.57827190576097
12051,40127,33.48413126186764
12053,182696,363.8808069665459
12055,102101,91.87565477398257
12057,1378883,1270.122311858724
12059,19430,39.844249561293815
12061,150984,278.7653608958498
12063,48472,50.77652467738469
12065,14105,22.983721577934464
12067,8744,15.925170418961853
12069,335362,288.5685535714566
12071,718679,790.639376689751
12073,288102,410.9503821310201
12075,39961,34.560165579746254
12077,8365,9.940745345295324
12079,18474,25.791123938549894
12081,373853,468.2281215119315
12083,348371,208.7155033634787
12085,157581,230.5292812937556
12086,2715516,1329.5559934731739
12087,76325,50.31831438931591
12089,80578,120.1914514057707
12091,200737,202.1604568753266
12093,40572,45.34124369742502
12095,1321194,1311.1448102622414
12097,338619,223.88029569401192
12099,1446277,646.0605974769699
12101,510593,657.1648190896979
12103,957875,2750.0979254688796
